Sun;yellow;1.989e30;[0,0];[0,0]
Mercury;gray;0.330e24;[46e9,0];[0,58.97e3]
Venus;white;4.867e24;[107.480e9,0];[0,35.26e3]
Earth;blue;5.972e24;[147.095e9,0];[0,30.29e3]
Perseverance;green;2e15;[147.095e9,1];[3500,34000]
Mars;red;0.642e24;[206.650e9,0];[0,26.50e3]
